,,,,Marketwise Price & Arrival Report (01-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 01 Feb, 2026","Price on 31 Jan, 2026","Price on 30 Jan, 2026","Arrival on 01 Feb, 2026","Arrival on 31 Jan, 2026","Arrival on 30 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,-,1850.00,1860.00,-,10.00,8.90
Cereals,Paddy(Common),2369.00,3900.00,4219.49,3878.62,6.00,83.00,29.00
Fibre Crops,Cotton,7710.00,7770.00,7540.71,7504.49,10.80,153.40,474.80
Oil Seeds,Mustard,5950.00,6800.00,6700.00,6800.00,1.20,0.60,2.30
Pulses,Bengal Gram(Gram)(Whole),5650.00,-,5180.00,5105.00,-,5.30,3.00
Pulses,Green Gram(Moong)(Whole),8768.00,-,-,6355.00,-,-,1.70
Vegetables,Onion,-,1737.73,1908.49,1589.43,97.44,108.19,86.01
Vegetables,Potato,-,648.02,504.00,708.86,300.90,496.02,251.45
Vegetables,Tomato,-,1657.63,2117.97,2018.86,108.44,53.56,105.07

